date,equal_weight,erc,inverse_vol,mvo,mvo_ls
2019-04-09,-0.003220176208933778,-0.0005392581758978388,-0.0011657156731179619,-0.13058524868700794,-0.2964936769694215
2019-04-10,0.0,0.0,0.0,-0.12914086088477672,-0.29580871429577993
2019-04-11,-0.0015582725140790288,-0.0013216353605348674,-0.0013128525517464018,-0.13054769563655055,-0.29341179047097177
2019-04-12,0.0,-0.0014182257347670202,-0.00048003384372929947,-0.12982908849511154,-0.2928038011977704
2019-04-15,-0.0012654872544646256,-0.0015505427122940452,-0.0009372487421815956,-0.12972369417611307,-0.2902912898080613
2019-04-16,-0.0029194023821521586,-0.002913653071002442,-0.0026640791898641103,-0.14266715686437292,-0.30152684212407477
2019-04-17,-0.004719947743070496,-0.003152232103171504,-0.00346145570527312,-0.15138603015911944,-0.30874293369002825
2019-04-18,-0.0031651474983629413,-0.0022453014536689686,-0.0023485633013575757,-0.1483863289529812,-0.30531671142816075
2019-04-22,-0.0040389499933388695,-0.002736840335530344,-0.003122572716387495,-0.1517639032655671,-0.30882397866895306
2019-04-23,0.0,-0.0011851314265788337,-0.000587892437679427,-0.14427643834624793,-0.30167431409049505
2019-04-24,-0.0010269238848850115,-0.0003353208294669674,-9.362973542992314e-05,-0.14003382107154183,-0.2935264680259172
2019-04-25,-0.0030648131967737635,-0.0008964978359132791,-0.001029181949919411,-0.13872072495627352,-0.2917556136532834
2019-04-26,0.0,0.0,0.0,-0.13368065633524318,-0.28863837677774484
2019-04-29,-0.0010354433012704778,-0.0010796099059060538,-0.001240682902554413,-0.13671497204864835,-0.2925178769801321
2019-04-30,0.0,0.0,0.0,-0.12905491972949779,-0.2869962368556872
2019-05-01,-0.005994197943234858,-0.002135249788757232,-0.0030868074944937485,-0.1314441347532912,-0.28842728101855863
2019-05-02,-0.008617755384526471,-0.0036962976066429176,-0.004865987429595098,-0.133346582119513,-0.2903502992210175
2019-05-03,-0.0017676668008475005,-0.0012447052384797486,-0.001190683178309171,-0.1266241799424911,-0.2890245783810871
2019-05-06,-0.005399066703695943,-0.001464377183874932,-0.0021867332291362063,-0.1304850843080213,-0.28721371798038986
2019-05-07,-0.015338252786732731,-0.0031993104204904865,-0.00609237628167747,-0.14103586697063553,-0.28832125472452474
2019-05-08,-0.016760259524055687,-0.0042030037464533265,-0.007247654304503803,-0.14459583407312337,-0.29176038671929305
2019-05-09,-0.018881781179598267,-0.004010481735379878,-0.007667376872167231,-0.1460395751174164,-0.292175314667637
2019-05-10,-0.014072271030717731,-0.002454786106045548,-0.005193911674772123,-0.13770386652971345,-0.2883254001134523
2019-05-13,-0.026005914636928806,-0.0038958681659196914,-0.00932615041731566,-0.15023365211009843,-0.2930242023449956
2019-05-14,-0.02053734352555403,-0.0027152209813493533,-0.007035603837726945,-0.14603664806743621,-0.2949038304631507
2019-05-15,-0.017314939616500213,-0.0008419691151835274,-0.00477592016032935,-0.14194631167665395,-0.2944539658736468
2019-05-16,-0.01310065592392018,-0.0005803682927509879,-0.0034833628924104687,-0.13704754416962683,-0.29189850363449343
2019-05-17,-0.017801863241250993,-0.001624446028800075,-0.005329076014150336,-0.1393553767000747,-0.2898540912579889
2019-05-20,-0.021263431545896494,-0.0029158517878667967,-0.007205463282935143,-0.14487909796883858,-0.29337076787576166
2019-05-21,-0.015969725673291024,-0.0021033889554075147,-0.0052757897464048575,-0.14221637229218986,-0.29334162125806706
2019-05-22,-0.018224427287766853,-0.0017920357759069194,-0.005483306336624194,-0.13948836168296397,-0.28868304848784354
2019-05-23,-0.024471440481708906,-0.0012189271566753757,-0.006611096979529996,-0.1432385372610845,-0.2822463994018529
2019-05-24,-0.022088646930267908,-0.0005873830882369147,-0.005537887044567813,-0.1435355609288712,-0.2853445276170631
2019-05-28,-0.02719383220077254,-0.0009730920317965186,-0.007251842403756648,-0.1511435743810725,-0.28922553106855664
2019-05-29,-0.03083561527391787,-0.0019052267374375376,-0.00899905516798405,-0.1583506307394772,-0.29598438641279856
2019-05-30,-0.02880663732881772,0.0,-0.006796260221128558,-0.1554278755331464,-0.29299853093466344
2019-05-31,-0.0338071562578145,0.0,-0.007502800952473798,-0.15975185514368828,-0.2944053732343236
2019-06-03,-0.0286347312758074,0.0,-0.003513674286928059,-0.15826398736353264,-0.3022454556617964
2019-06-04,-0.018788232490756784,0.0,0.0,-0.14844947860227276,-0.2990433622811127
2019-06-05,-0.015423741917056866,0.0,0.0,-0.13469165713501474,-0.28421355442537577
2019-06-06,-0.0099823440210014,0.0,0.0,-0.12963604742053236,-0.2835071521975788
2019-06-07,-0.0037797558185433955,0.0,0.0,-0.12352281679059707,-0.27798255213567835
2019-06-10,-0.0032634948118769325,-0.001699352341603233,-0.0011229420797765899,-0.12714043144155474,-0.2816082166236852
2019-06-11,-0.0022265725079196885,-0.0014595566127268977,-0.0005854486379981427,-0.1271159525994059,-0.2810629173836574
2019-06-12,-0.003537807091330558,-0.0010375864824760939,-0.0005039398106536641,-0.12323128416380957,-0.27443060003738773
2019-06-13,0.0,0.0,0.0,-0.12075073881319931,-0.27493692583704177
2019-06-14,-0.0011484304272247892,-7.625440851666276e-05,-0.0003774554356267279,-0.1178331721312228,-0.2678394372043432
2019-06-17,-0.001321558371114251,-0.00048153013465301875,-0.0006786266964790011,-0.11574048112877611,-0.26587448118093104
2019-06-18,0.0,0.0,0.0,-0.1123278206564613,-0.2684128500887961
2019-06-19,0.0,0.0,0.0,-0.10894523761458785,-0.2665636761800537
2019-06-20,0.0,0.0,0.0,-0.104287023165618,-0.26995843038228073
2019-06-21,-0.0020190648610799444,-0.0018734185520152824,-0.0019385857954898889,-0.10927487870499897,-0.2761170991480548
2019-06-24,-0.0013533907228661102,-0.00023935095032612264,-0.0006122297579755909,-0.10810771800723062,-0.2750277748738845
2019-06-25,-0.005859559817684712,-0.0013429126289277171,-0.0027790092111424913,-0.1121741915747223,-0.2774365973725771
2019-06-26,-0.00837285202260174,-0.003967963020772625,-0.005411211020188711,-0.12326083513334196,-0.29090443304603775
2019-06-27,-0.004963292992435919,-0.0016335701531244862,-0.0026747779671518757,-0.11852458879114058,-0.2863354668137016
2019-06-28,-0.0022008962159327794,-0.0006902867108073973,-0.0012319398880911159,-0.11732775670342066,-0.2864819909826428
2019-07-01,0.0,-0.0007924412552205995,-0.000545457063129362,-0.11465906771470358,-0.2849999344774157
2019-07-02,0.0,0.0,0.0,-0.10247680637121948,-0.2695211939907397
2019-07-03,0.0,0.0,0.0,-0.09635309332155473,-0.2624782722881134
2019-07-05,-0.004163740691193962,-0.003943579390740415,-0.0041903777998928415,-0.10296247721289054,-0.2696574688214839
2019-07-08,-0.006994213013163497,-0.005300288545825205,-0.005934929662406052,-0.10356621123451482,-0.271162903451864
2019-07-09,-0.007505617972203615,-0.0056542001216575155,-0.006519254978169631,-0.1032122741835485,-0.27143351491080725
2019-07-10,-0.003026003994345383,-0.0029322961400897185,-0.0034327014697840275,-0.1030158976754435,-0.2767876523240813
2019-07-11,-0.00421000827721052,-0.00513435607753665,-0.005331531703150261,-0.1053861983028922,-0.2790931526694451
2019-07-12,-0.00118192843070819,-0.0038501506623455084,-0.003700856809323416,-0.10647664241694821,-0.2799583669307887
2019-07-15,-0.0011728041864857985,-0.003276060698879646,-0.003190940192020042,-0.1039700506599126,-0.2740715434708232
2019-07-16,-0.004516510178576905,-0.005361607123267831,-0.0053981623335346285,-0.10655333238252673,-0.27300675612899705
2019-07-17,-0.00655674164225184,-0.004290160060010706,-0.005076486445407924,-0.10363456031618867,-0.2673263267949282
2019-07-18,-0.003143259400880005,-0.002005191410454521,-0.0025648268107925087,-0.10043215970712849,-0.26443879784954627
2019-07-19,-0.00712542630716273,-0.004590102569963506,-0.005478527464592986,-0.10942473405770803,-0.2731027515547565
2019-07-22,-0.006476276760144062,-0.0041223320877833425,-0.004850177875072026,-0.11076460857882708,-0.27271534302897105
2019-07-23,-0.002268828433820369,-0.0031899662145131735,-0.002988032260609841,-0.10715775325633148,-0.2746439092799745
2019-07-24,-0.0001719832596526194,-0.0018757942106575332,-0.0016047492095335736,-0.1070867599375932,-0.2748327375488595
2019-07-25,-0.005010642791981379,-0.004558425264282073,-0.004661109085291604,-0.11059209458924146,-0.2753242441158186
2019-07-26,-0.002585589120260523,-0.003287791605386947,-0.0030504140565301707,-0.10625645527842165,-0.26966208394593316
2019-07-29,-0.0023937856199245378,-0.0029619075875643164,-0.002851107142096021,-0.10317268323572693,-0.26662867458528916
2019-07-30,-0.002526023817339018,-0.002756508108912703,-0.0028739315105063,-0.10394794406718699,-0.2703806936283407
2019-07-31,-0.009330021306244607,-0.004843066682091002,-0.006112642084849851,-0.10913574579994256,-0.27500757856117575
2019-08-01,-0.01272154850611773,-0.0023933210397673044,-0.005019391024720821,-0.1028104432264102,-0.25821501966875815
2019-08-02,-0.016061788116833564,-0.0027839974974446235,-0.006274955780030345,-0.10743620750361194,-0.2595829802486538
2019-08-05,-0.031620409262088645,-0.006278264003158784,-0.013137762555126997,-0.12248971809218134,-0.2653267297024132
2019-08-06,-0.023700049818919378,-0.00223311344396504,-0.007986827599419266,-0.11258618258122333,-0.25494467712047886
2019-08-07,-0.021697469948927073,-0.0015683282531075982,-0.006756805894180595,-0.10541739164269748,-0.2465929232473344
2019-08-08,-0.010226516197086144,0.0,-0.0007586581173442131,-0.0956903769824975,-0.24271250550300683
2019-08-09,-0.014245457195898314,-0.001841781572350043,-0.0032358134952891193,-0.0995510954352653,-0.24332880867658935
2019-08-12,-0.01969777691695096,-0.0013323743179610714,-0.004520170961074155,-0.10189633296914091,-0.24257772783215847
2019-08-13,-0.011707462409836888,0.0,-0.0010420685121758089,-0.09900823458963781,-0.23890329231673402
2019-08-14,-0.027573685072979193,-0.0031476272366286473,-0.00790264456166967,-0.10066471238294072,-0.23478193388987068
2019-08-15,-0.02390972288662707,0.0,-0.004146132164725702,-0.09377300240472508,-0.22766532256736083
2019-08-16,-0.016193166395565894,0.0,-0.0003884106101256224,-0.08965974032319934,-0.22536080975772155
2019-08-19,-0.011351638277932397,-0.00036013041766813636,0.0,-0.08734575146770074,-0.22639228440783332
2019-08-20,-0.01346211915879636,0.0,0.0,-0.08357519325252338,-0.21985721733940555
2019-08-21,-0.009058973493460964,0.0,0.0,-0.08043897223031715,-0.2179089639819779
2019-08-22,-0.010666032390151514,-0.0014651129559697385,-0.0012291555236690899,-0.08286835102670298,-0.21590824299987565
2019-08-23,-0.022420608244081097,-0.0028443974073235623,-0.0056496920025218555,-0.08104407183532503,-0.2087588784273431
2019-08-26,-0.01708390375876867,-0.001428645364398906,-0.002873055735473473,-0.07613242491656502,-0.20635243660883595
2019-08-27,-0.01670005889901882,0.0,-0.0016631787755686522,-0.07189382044202663,-0.20639660772387836
2019-08-28,-0.012112392464580513,0.0,0.0,-0.06998958243321907,-0.20698730903454476
2019-08-29,-0.0057590908817996,0.0,0.0,-0.06579755005023769,-0.2068323861032697
2019-08-30,-0.005666389168931474,-0.00012797503928196896,0.0,-0.06686883095249307,-0.2066817545634838
2019-09-03,-0.0069881395753838005,0.0,-2.1892265743783668e-05,-0.058016318118729426,-0.1979526150916877
2019-09-04,0.0,0.0,0.0,-0.050284735955641646,-0.1996915573477358
2019-09-05,0.0,-0.003021770972798765,-0.0013101674794302465,-0.06485271109731383,-0.21357311090786846
2019-09-06,0.0,-0.0019349101353507425,-0.0001371928617650564,-0.06544374239880324,-0.21515852217444198
2019-09-09,-0.0005894398273056378,-0.004360600122397917,-0.0019105643781246462,-0.07212921069780154,-0.22956526506305452
2019-09-10,-0.0019073899548252005,-0.007529308617451491,-0.004322625343166631,-0.07990339288677484,-0.23967038846000788
2019-09-11,0.0,-0.006469501382479592,-0.0025406798432151545,-0.07653315558354357,-0.23563000655943267
2019-09-12,0.0,-0.006558067563761316,-0.0018992987959290941,-0.0758018548882895,-0.23383567984513598
2019-09-13,-0.002178797323002968,-0.010451054344333244,-0.005011084104805996,-0.08680099540905761,-0.2483840344741428
2019-09-16,0.0,-0.006927362909617818,-0.0024301655422158674,-0.08039848630184909,-0.2502462138994921
2019-09-17,0.0,-0.005752669168522129,-0.000940213574528892,-0.07553056059298024,-0.23970415251851773
2019-09-18,-0.0006390515529053342,-0.006052446821574131,-0.0012678659421602179,-0.07556360257430006,-0.23791647581566122
2019-09-19,0.0,-0.0052923445595061125,-0.0004944638697739201,-0.07367458504373514,-0.2366860127468905
2019-09-20,0.0,-0.0031242167461909,0.0,-0.07147146201123378,-0.23691006424323247
2019-09-23,0.0,-0.0023662357915511523,0.0,-0.06868093656296981,-0.2336090931620215
2019-09-24,-0.002921661986452051,-0.0018685803845933657,-0.00045252279325347367,-0.06661957926613205,-0.2299707293934602
2019-09-25,-0.003887975541931543,-0.004604132312063025,-0.002406586237196362,-0.07123307014898861,-0.2315571473585465
2019-09-26,-0.003552019918689253,-0.003744916821371236,-0.0016428891041724292,-0.06896798903430446,-0.22716058587029564
2019-09-27,-0.006580887454858186,-0.004506612978545377,-0.003065478857592785,-0.07238057135097109,-0.22843101542279398
2019-09-30,-0.005061995260041807,-0.0038115051086207163,-0.0018348498874474206,-0.07404556899377723,-0.22607734337487662
2019-10-01,-0.012442103689140893,-0.005702973299267611,-0.005097445403951517,-0.07501784734750627,-0.22439080728631788
2019-10-02,-0.0225820337263285,-0.008780986463309493,-0.010280386932799201,-0.07567165716178148,-0.22261662072330035
2019-10-03,-0.016723429483565422,-0.004847644306908538,-0.0060048301452063635,-0.06957184270004257,-0.2202323158217383
2019-10-04,-0.008698183124137393,-0.0010239168627604878,-0.0011222846759302296,-0.06152891309231845,-0.21549170308859433
2019-10-07,-0.013262224897817032,-0.0040863657200583825,-0.00439402393440802,-0.06745556845068279,-0.21969330882125904
2019-10-08,-0.02097905775400588,-0.006409603168679334,-0.008329418104029984,-0.07082670699793037,-0.22112912468857604
2019-10-09,-0.016066979041461593,-0.0051353303035251985,-0.005923688688703632,-0.06816591096633495,-0.22001435500310196
2019-10-10,-0.013404893921658778,-0.006059733489793273,-0.005729712414191401,-0.07450452688972375,-0.2274216223783304
2019-10-11,-0.007441939407689779,-0.00531988832629926,-0.0033675034885950472,-0.07971724651677425,-0.2390911724948851
2019-10-14,-0.00824858179718535,-0.0049600724714590205,-0.003421456400904521,-0.07855199663088608,-0.23704173594249844
2019-10-15,-0.005329186983197287,-0.005140758872176465,-0.0024600445068876375,-0.0833309223937655,-0.24276855907242656
